,primary_keys,property_types,prices,zipcodes,street_names,localities,bedrooms,bathrooms,living_areas (m2),equipped_kitchens,furnisheds,garden_surfaces (m2),surface_plots (m2),building_conditions,energy_classes
69,9962238,apartment,395000,1050,Avenue de l'Hippodrome 161,Ixelles,1,,85,USA hyper equipped,No,,,Just renovated,D
70,9981215,apartment,185000,1020,"Avenue des Croix du Feu 181
    
        Box 12",Laeken,1,1,81,Hyper equipped,No,,,As new,G
71,9982761,flat-studio,185000,8370,Zeedijk 55,Blankenberge,,1,33,Installed,Yes,,,Good,B
72,9973273,new-real-estate-project-apartments,304000,1050,,<built-in method strip of str object at 0x7fa7adef2e30>,,,,,,,,,A
73,9986505,new-real-estate-project-apartments,354500,1420,Boulevard de France Boulevard,Braine-l'Alleud,,,,,,,,,A+
74,9973381,apartment,540000,1070,Rue de l'Agrafe 68,Anderlecht,3,1,180,Installed,No,,,Good,C
75,9973264,new-real-estate-project-apartments,635000,1180,,<built-in method strip of str object at 0x7fa7adc6c5f0>,,,,,,,,,B
76,9993423,apartment-block,650000,1200,Avenue du Prince Heritier 185,Woluwe-Saint-Lambert,4,2,267,Installed,No,44,162,To be done up,G
77,9993421,house,650000,1200,Avenue du Prince Heritier 185,Woluwe-Saint-Lambert,4,2,267,Installed,No,44,162,To be done up,G
78,9993303,apartment,195000,1020,"Avenue du Forum 5,20",Laeken,2,1,75,Semi equipped,No,,,Good,G
79,9992197,apartment,215000,1600,"Gaston Deruyverstraat 23
    
        Box 2",Sint-Pieters-Leeuw,2,1,85,Not installed,No,,,To be done up,B
80,9976939,apartment,230000,1080,Rue Osseghem 62,Molenbeek-Saint-Jean,1,1,89,Installed,,,,As new,E
81,9992946,apartment,245000,1800,Blaesenbergstraat 72,Vilvoorde,2,1,81,Hyper equipped,No,,,Good,B
82,9969046,penthouse,390000,1050,Rue Godecharle 6,Ixelles,1,1,70,USA installed,Yes,,,Good,E
83,9982786,apartment,395000,1180,avenue Winston Churchill 55,Uccle,2,1,166,,No,,,To renovate,F
